Taxa	MTN112	PFND073	PFND110	PFND111	PFND164_amplified	PFND185	PFND208	PFND227	PFND233	PFND283	PFND429	MTN008	MTN038	MTN044	MTN049	MTN071	MTN076	MTN099	MTN142	MTN167
Bifidobacterium longum	54	1	45	16	0	55	3	0	0	3	13	0	54	1	51	0	0	0	11	36
Bifidobacterium pseudocatenulatum	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Bifidobacterium pullorum	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium saguini	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastocystis MELD virus	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Blastocystis hominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4
Blastocystis sp. subtype 3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Blastocystis sp. subtype 4	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	191	0	0	1
Blautia argi	1	0	0	1	2	2	3	1	0	0	2	0	1	1	4	1	0	1	1	1
Blautia hansenii	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia liquoris	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Blautia obeum	26	94	8	56	151	67	13	11	5	45	10	0	11	16	95	46	45	5	13	11
Blautia producta	0	1	4	1	0	0	1	0	2	3	0	0	0	5	4	8	2	0	2	1
Blautia pseudococcoides	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1
Blautia sp. SC05B48	7	14	2	12	12	10	9	2	2	21	4	0	7	4	24	8	14	3	5	5
Brigitvirus brigit	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Butyricimonas faecalis	0	0	0	0	1	1	1	0	0	2	1	1	1	0	4	2	0	1	0	2
Butyricimonas virosa	1	0	0	0	36	18	11	0	0	1	19	0	1	0	10	10	116	0	0	23
Butyrivibrio hungatei	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Caldibacillus thermoamylovorans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Formimonas warabiya	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Candidatus Lachnocurva vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Candidatus Melainabacteria bacterium MEL.A1	0	0	0	0	0	0	6	0	0	0	1	0	0	0	32	14	0	0	20	0
Caproicibacterium amylolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Caproiciproducens galactitolivorans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
Caproiciproducens sp. NJN-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Carjivirus autochthophagica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Catenibacterium sp. co_0103	0	1	0	0	0	16	0	0	0	4	0	1	0	0	0	1	0	0	0	27
Caudovirales sp. ct0YK8	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	2
Caudovirales sp. ctlwr10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Caudovirales sp. ctqPn17	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Caudoviricetes sp.	73	56	14	121	144	92	117	21	29	252	110	8	74	24	132	114	113	23	58	80
Ceduovirus bIBBL12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cellulosilyticum sp. WCF-2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Christensenella massiliensis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Christensenella minuta	0	0	0	0	1	0	4	0	1	2	0	0	1	0	0	0	1	0	1	1
Christensenellaceae bacterium	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	2
Chryseobacterium indologenes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter portucalensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Clostridiaceae bacterium Marseille-Q4143	0	2	4	2	4	0	3	0	1	5	5	0	2	1	4	48	11	0	19	47
Clostridiaceae bacterium Marseille-Q4149	4	0	0	3	21	6	4	0	0	14	5	0	0	0	1	4	8	3	1	5
Clostridiales bacterium	0	0	0	11	0	4	0	0	0	8	67	0	0	1	6	20	12	1	68	10
Clostridiales bacterium CCNA10	6	0	1	5	5	3	3	0	3	6	19	0	3	0	4	18	6	0	15	5
Clostridiales bacterium CoAT_21-4c	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridiales bacterium FE2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Clostridioides difficile	4	1	0	0	4	1	2	0	0	4	10	0	2	3	2	2	2	0	4	3
Clostridioides sp. ES-S-0010-02	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Clostridioides sp. ES-S-0173-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Clostridium baratii	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Clostridium bornimense	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Clostridium botulinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Clostridium butyricum	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Clostridium cadaveris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium chauvoei	0	1	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
Clostridium gasigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Clostridium neonatale	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Clostridium perfringens	0	1	2	1	1	0	0	2	0	28	1	0	0	0	0	0	0	0	0	41
Clostridium septicum	0	0	1	0	2	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0
Clostridium sp. C1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
Clostridium sp. M62/1	2	0	1	2	5	2	3	0	1	2	3	0	1	3	4	7	4	2	1	4
Clostridium sp. SY8519	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1
Clostridium sporogenes	1	0	0	0	1	0	3	0	0	6	2	0	5	1	2	2	0	0	1	2
Clostridium taeniosporum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Cohcovirus hiberniae	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Collinsella aerofaciens	41	54	0	0	48	81	45	0	3	77	0	0	60	0	79	3	3	0	0	1
Collinsella stercoris	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprobacter secundus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	5	0
Coprococcus catus	7	24	1	35	39	44	56	0	1	103	1	0	0	0	0	0	0	0	0	0
Coprococcus comes	65	6	17	88	50	79	54	3	0	135	62	0	0	0	0	0	0	0	0	0
Coprococcus eutactus	0	2	0	1	1	1	0	1	1	2	2	0	1	0	1	2	2	0	1	0
Coprococcus sp. ART55/1	1	7	0	0	1	32	0	2	1	5	0	0	0	0	0	0	0	0	0	0
CrAss-like virus sp. ctOWe7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CrAss-like virus sp. ctUXy6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CrAssphage FA1-2_000172F	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CrAssphage GF1-2_000079F	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0
CrAssphage apr34_000142F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Crabavirus typica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Crassvirales sp.	0	1	0	0	1	0	0	0	1	0	2	0	4	0	1	3	0	0	1	3
Desulfobulbus oralis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfosarcina ovata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Desulfovibrio desulfuricans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31
Desulfovibrio fairfieldensis	1	0	0	0	0	0	16	0	0	0	0	0	0	0	0	17	0	0	0	0
Desulfovibrio piger	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Desulfovibrio sp. G11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister hominis	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister massiliensis	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Dialister pneumosintes	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Dialister succinatiphilus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dichelobacter nodosus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Duodenibacillus massiliensis	0	0	0	0	0	0	1	0	0	1	1	0	0	0	5	0	0	0	0	0
Dysosmobacter sp. Marseille-Q4140	7	0	1	5	1	1	4	0	3	1	7	0	0	2	2	2	2	1	1	2
Dysosmobacter welbionis	10	0	1	2	1	1	1	0	0	1	21	0	6	6	0	21	5	4	9	4
Eggerthella guodeyinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Eggerthella lenta	43	1	1	0	0	1	3	0	0	0	10	0	0	0	1	0	0	1	60	1
Eggerthella sp. YY7918	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Emergencia timonensis	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	3	0	0	7	2
Enterocloster bolteae	3	1	1	3	1	0	2	0	1	2	7	0	2	9	3	36	8	4	10	3
Enterocloster clostridioformis	3	0	1	0	0	0	1	0	0	0	1	0	0	3	0	2	5	2	0	1
Enterococcus cecorum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Enterococcus faecalis	0	0	0	0	0	0	0	24	0	0	1	0	0	0	0	2	0	1	0	0
Enterococcus faecium	5	1	0	0	2	2	1	0	0	10	1	0	2	2	1	3	1	0	0	1
Erysipelotrichaceae bacterium 66202529	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	2
Erysipelotrichaceae bacterium GAM147	0	3	0	0	0	0	10	3	2	17	18	0	9	2	16	3	0	0	5	9
Escherichia coli	0	0	0	0	0	3	1	0	0	20	0	0	49	53	0	9	0	2	0	4
Eubacterium callanderi	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eubacterium maltosivorans	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eubacterium sp. MSJ-33	0	0	0	0	1	0	1	0	0	2	2	0	0	0	0	1	0	0	0	0
Faecalibacillus intestinalis	0	0	0	0	1	0	1	0	0	3	4	0	2	0	0	6	0	0	2	3
Faecalibacterium prausnitzii	10	3	6	59	214	153	163	44	38	249	137	1	214	56	370	309	346	50	83	118
Faecalicatena sp. Marseille-Q4148	0	2	0	0	3	0	2	0	0	0	2	0	1	1	1	3	0	0	0	1
Faecalitalea cylindroides	5	0	0	4	1	1	4	0	1	10	7	0	0	1	6	2	4	4	1	1
Filifactor alocis	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
Flavonifractor plautii	8	0	17	2	3	0	1	0	0	1	17	0	2	48	1	134	4	2	6	7
Flintibacter sp. KGMB00164	5	0	8	0	0	3	0	0	0	0	8	0	0	20	1	2	0	0	2	0
Fretibacterium fastidiosum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Fusobacterium animalis	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0
Fusobacterium gastrosuis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Fusobacterium nucleatum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Fusobacterium ulcerans	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium varium	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella sanguinis	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonibacter pamelaeae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5
Gordonibacter urolithinfaciens	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
Granulicatella adiacens	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus parainfluenzae	0	0	88	0	1	0	0	24	19	1	0	0	9	7	4	0	6	0	0	15
Haemophilus pittmaniae	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herelleviridae sp.	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Hungatella hathewayi	1	0	0	1	0	0	0	0	0	2	4	0	1	0	0	2	4	1	2	1
Inoviridae sp.	5	0	1	2	4	2	2	1	0	10	3	0	0	0	4	3	2	0	2	0
Inoviridae sp. ct1ro12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Intestinibaculum porci	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Intestinimonas butyriciproducens	2	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1
Klebsiella aerogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Klebsiella oxytoca	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Klebsiella pneumoniae	0	0	0	0	0	22	0	0	0	13	0	0	9	0	0	0	0	0	0	0
Klebsiella sp. A52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
Klebsiella variicola	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium phocaeense	5	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0
Lachnoclostridium phytofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Lachnoclostridium sp. YL32	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	1	1	0	1
Lachnospira eligens	6	1	20	20	29	8	25	0	7	36	11	0	7	0	51	14	33	13	3	1
Lachnospiraceae bacterium	23	6	4	26	57	63	125	9	13	43	18	1	25	28	101	55	114	7	15	13
Lachnospiraceae bacterium Choco86	5	2	1	4	4	3	1	1	0	6	2	0	1	3	2	3	5	0	2	2
Lachnospiraceae bacterium GAM79	4	0	0	15	38	48	80	1	6	12	7	0	15	16	75	24	86	2	2	4
Lachnospiraceae bacterium KGMB03038	3	0	0	1	0	0	0	0	0	0	1	0	0	3	3	1	0	0	0	0
Lachnospiraceae bacterium KM106-2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae bacterium oral taxon 096	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Lachnospiraceae bacterium oral taxon 500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Lacrimispora saccharolytica	3	0	0	1	1	1	2	0	0	3	0	0	0	1	1	7	1	3	2	3
Lacticaseibacillus paracasei	0	0	34	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lacticaseibacillus rhamnosus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Lactiplantibacillus plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Lactobacillus delbrueckii	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus gasseri	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus johnsonii	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Lactobacillus paragasseri	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus cremoris	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus garvieae	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus lactis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ligilactobacillus ruminis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	21	0	0	0	0	0
Ligilactobacillus salivarius	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus fermentum	0	0	2	58	0	0	17	0	0	15	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus oris	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus reuteri	0	0	0	0	0	3	0	0	0	16	0	0	0	0	0	0	0	0	0	0
Limosilactobacillus vaginalis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Longibaculum sp. KGMB06250	0	1	1	2	2	0	0	0	1	2	1	0	0	1	3	3	0	0	1	3
Longicatena caecimuris	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0
MELD virus sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Mageeibacillus indolicus	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Massilistercora timonensis	1	0	0	2	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Mediterraneibacter torques	0	0	0	0	0	0	0	0	0	0	0	0	12	0	47	6	9	2	8	3
Megamonas funiformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0
Megamonas hypermegale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Megasphaera elsdenii	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	27
Megasphaera massiliensis	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Megasphaera stantonii	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Methanobrevibacter smithii	0	0	0	0	0	24	43	0	0	30	0	0	0	0	0	0	22	0	0	2
Microviridae sp.	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	3	0	0	0	1
Mogibacterium pumilum	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Murdochiella vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Muribaculum gordoncarteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Muribaculum intestinale	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ct7113	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ctGjZ5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ctHMa1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
Myoviridae sp. ctISH16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Myoviridae sp. ctNQV2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ctPoO4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ctQf419	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ctVCj30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. cteBs22	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Myoviridae sp. ctg8M33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Nitratidesulfovibrio vulgaris	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Novisyntrophococcus fermenticellae	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Odoribacter splanchnicus	23	0	0	25	41	55	11	6	11	152	196	0	14	26	73	82	16	12	126	35
Oengusvirus oengus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Olsenella sp. GAM18	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillibacter sp. PEA192	15	0	0	1	0	1	1	0	0	1	15	0	3	10	0	7	7	0	9	2
Oscillibacter valericigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Oscillospiraceae bacterium	9	0	2	1	4	6	3	1	1	7	17	0	4	4	2	14	11	5	10	12
Oxalobacter formigenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	43
